* RCK derivative values
* time_minute  dRCK_dt
53.266667  0.03076066
53.283333  0.03076810
53.300000  0.03077539
53.316667  0.03078252
53.333333  0.03078950
53.350000  0.03079632
53.366667  0.03080298
53.383333  0.03080949
53.400000  0.03081584
53.416667  0.03082204
53.433333  0.03082808
53.450000  0.03083397
53.466667  0.03083970
53.483333  0.03084527
53.500000  0.03085069
53.516667  0.03085595
53.533333  0.03086106
53.550000  0.03086601
53.566667  0.03087081
53.583333  0.03087545
53.600000  0.03087993
53.616667  0.03088426
53.633333  0.03088843
53.650000  0.03089245
53.666667  0.03089631
53.683333  0.03090002
53.700000  0.03090357
53.716667  0.03090697
53.733333  0.03091021
53.750000  0.03091329
53.766667  0.03091622
53.783333  0.03091899
53.800000  0.03092161
53.816667  0.03092407
53.833333  0.03092637
53.850000  0.03092852
53.866667  0.03093052
53.883333  0.03093236
53.900000  0.03093404
53.916667  0.03093557
53.933333  0.03093694
53.950000  0.03093815
53.966667  0.03093921
53.983333  0.03094012
54.000000  0.03094087
54.016667  0.03094146
54.033333  0.03094190
54.050000  0.03094218
54.066667  0.03094231
54.083333  0.03094228
54.100000  0.03094209
54.116667  0.03094175
54.133333  0.03094125
54.150000  0.03094060
54.166667  0.03093979
54.183333  0.03093883
54.200000  0.03093771
54.216667  0.03093644
54.233333  0.03093501
54.250000  0.03093342
54.266667  0.03093168
54.283333  0.03092978
54.300000  0.03092773
54.316667  0.03092552
54.333333  0.03092316
54.350000  0.03092064
54.366667  0.03091796
54.383333  0.03091513
54.400000  0.03091214
54.416667  0.03090900
54.433333  0.03090570
54.450000  0.03090225
54.466667  0.03089864
54.483333  0.03089487
54.500000  0.03089095
54.516667  0.03088687
54.533333  0.03088264
54.550000  0.03087825
54.566667  0.03087371
54.583333  0.03086901
54.600000  0.03086415
54.616667  0.03085914
54.633333  0.03085398
54.650000  0.03084866
54.666667  0.03084318
54.683333  0.03083754
54.700000  0.03083176
54.716667  0.03082581
54.733333  0.03081971
54.750000  0.03081346
54.766667  0.03080704
54.783333  0.03080048
54.800000  0.03079375
54.816667  0.03078687
54.833333  0.03077984
54.850000  0.03077265
54.866667  0.03076530
54.883333  0.03075780
54.900000  0.03075015
54.916667  0.03074233
54.933333  0.03073437
54.950000  0.03072624
54.966667  0.03071796
54.983333  0.03070953
55.000000  0.03070094
55.016667  0.03069219
55.033333  0.03068329
55.050000  0.03067423
55.066667  0.03066502
55.083333  0.03065565
55.100000  0.03064612
55.116667  0.03063644
55.133333  0.03062661
55.150000  0.03061661
